Date,Open,High,Low,Close,Adj Close,Volume
2010-09-10,7.165714,7.251429,7.142857,7.225714,4.942999,21700
2010-09-13,7.137143,7.571429,7.137143,7.491428,5.124768,50000
2010-09-14,7.500000,7.600000,7.445714,7.562857,5.173632,21300
2010-09-15,7.471428,7.674286,7.471428,7.628572,5.218586,17800
2010-09-16,7.440000,7.685714,7.440000,7.602857,5.200995,6600
2010-09-17,7.628572,7.685714,7.188571,7.205714,4.929316,101100
2010-09-20,7.237143,7.514286,7.237143,7.474286,5.113041,23800
2010-09-21,7.142857,7.331429,7.142857,7.285714,4.984043,47200
2010-09-22,7.277143,7.277143,7.171429,7.197143,4.923452,4200
2010-09-23,7.142857,7.425714,7.008572,7.205714,4.929316,73100
2010-09-24,7.288571,7.308571,7.145714,7.257143,4.964498,14300
2010-09-27,7.142857,7.354286,7.142857,7.285714,4.984043,22700
2010-09-28,7.428571,7.502857,7.217143,7.414286,5.071996,42700
2010-09-29,7.297143,7.420000,7.297143,7.420000,5.075907,14700
2010-09-30,7.457143,7.457143,7.322857,7.451428,5.097406,10500
2010-10-01,7.431428,7.628572,7.202857,7.628572,5.218586,19600
2010-10-04,7.434286,7.662857,7.434286,7.594285,5.195132,24100
2010-10-05,7.614286,7.785714,7.585714,7.785714,5.326085,47600
2010-10-06,7.785714,7.828571,7.434286,7.674286,5.249858,23400
2010-10-07,7.714286,7.742857,7.497143,7.674286,5.249858,30400
2010-10-08,7.700000,7.785714,7.697143,7.771429,5.316313,24800
2010-10-11,7.760000,7.948571,7.680000,7.894286,5.400357,15000
2010-10-12,7.857143,7.857143,7.717143,7.817143,5.347586,22400
2010-10-13,7.857143,8.028571,7.842857,7.894286,5.400357,51100
2010-10-14,7.857143,7.954286,7.857143,7.882857,5.392540,6600
2010-10-15,8.000000,8.042857,7.991428,7.991428,5.466811,17800
2010-10-18,8.302857,8.302857,8.028571,8.082857,5.529356,3100
2010-10-19,8.031428,8.480000,7.871428,8.085714,5.531311,82600
2010-10-20,8.028571,8.462857,7.874286,8.354285,5.715036,116900
2010-10-21,8.085714,8.340000,8.085714,8.194285,5.605584,45100
2010-10-22,8.231428,8.360000,8.071428,8.214286,5.619266,23100
2010-10-25,8.288571,8.391429,7.942857,8.000000,5.472675,13600
2010-10-26,8.008572,8.145715,7.897143,8.000000,5.472675,38100
2010-10-27,7.977143,8.242857,7.914286,8.065714,5.517628,35300
2010-10-28,7.951428,8.088572,7.937143,8.022857,5.488310,18200
2010-10-29,8.062857,8.128572,8.000000,8.037143,5.498082,7700
2010-11-01,8.028571,8.117143,7.874286,7.874286,5.386675,5200
2010-11-02,8.042857,8.128572,7.968572,8.108571,5.546947,36000
2010-11-03,8.125714,8.128572,8.097143,8.114285,5.550856,5200
2010-11-04,8.128572,8.214286,8.120000,8.208571,5.615355,8400
2010-11-05,8.208571,8.557143,8.188571,8.368571,5.724809,60200
2010-11-08,8.360000,8.428572,8.328571,8.388572,5.738491,16400
2010-11-09,8.368571,8.542857,8.057143,8.385715,5.736536,77300
2010-11-10,8.385715,8.554286,8.265715,8.365714,5.722853,23800
2010-11-11,8.302857,8.451428,8.302857,8.377143,5.730672,34300
2010-11-12,8.360000,8.457143,8.228572,8.308572,5.683764,32900
2010-11-15,8.094286,8.357142,8.094286,8.271428,5.658354,14000
2010-11-16,8.320000,8.320000,7.971428,7.971428,5.453128,28300
2010-11-17,7.977143,8.065714,7.762857,7.937143,5.429675,15000
2010-11-18,7.760000,8.285714,7.760000,8.054286,5.509810,52500
2010-11-19,8.068571,8.165714,7.968572,8.165714,5.586037,10100
2010-11-22,8.214286,8.214286,8.057143,8.100000,5.541082,9100
2010-11-23,8.037143,8.057143,8.005714,8.005714,5.476583,3500
2010-11-24,7.945714,8.028571,7.945714,8.028571,5.492219,1700
2010-11-26,8.028571,8.028571,8.028571,8.028571,5.492219,0
2010-11-29,8.262857,8.262857,7.528572,8.000000,5.472675,46200
2010-11-30,7.960000,8.128572,7.928571,8.088572,5.533265,37100
2010-12-01,8.037143,8.657143,8.037143,8.285714,5.804474,84300
2010-12-02,8.148571,8.328571,8.080000,8.320000,5.828492,53900
2010-12-03,8.328571,8.328571,8.117143,8.248571,5.778455,5600
2010-12-06,8.268572,8.300000,8.205714,8.260000,5.786460,25200
2010-12-07,8.260000,8.314285,8.205714,8.314285,5.824489,17500
2010-12-08,8.220000,8.297143,8.205714,8.205714,5.748431,8000
2010-12-09,8.214286,8.257143,8.208571,8.217143,5.756437,9800
