username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
NetflixAndLamp,NetflixAndLamp,2018-04-25 05:19,4,18,"If you think Elon is self-made, note that Elon's life was funded by his father, who was an apartheid supporter who made money using child labor to mine emeralds, which Elon then sold. Daddy then had a child with his own stepdaughter. Not surprising that Elon is a scumbag. $ TSLA",,,,"988927845937373186",https://twitter.com/NetflixAndLamp/status/988927845937373186
Roosevelt Stinson,RooseveltPatoo1,2018-04-25 04:37,3,7,"Waiting patiently for the next @elonmusk tweet that will gap up $ TSLA stock and leave shorty hit in the head with a dildo and tossed into the trunk of a Tesla. Metaphorically, of course.",,@elonmusk,,"988917440464728064",https://twitter.com/RooseveltPatoo1/status/988917440464728064
Modern Wall Street,ModernWallSt,2018-04-25 03:55,6,12,"Time for #TuesdayThoughts | MWS Street Smarts Ep 9 | Damage Control on Stock Sell-off $ DJIA @Qualcomm Quivers $ QCOM Throw Away @Tesla ? $ TSLA is @Raytheon a gem $ RTN & more w. @oliviabvoz @Sarge986 [VIDEO] https:// pjj52.app.goo.gl/mGsR6cLbUhQfCg oz1 … pic.twitter.com/1oIFW2t4st",,@Qualcomm @Tesla @Raytheon @oliviabvoz @Sarge986,#TuesdayThoughts,"988906779751911424",https://twitter.com/ModernWallSt/status/988906779751911424
skabooshka,skabooshka,2018-04-25 03:52,2,7,"Day 3 non-owners from Canada getting invited to configure $ TSLA model 3 now. Canada demand is anemic.",,,,"988905953666875392",https://twitter.com/skabooshka/status/988905953666875392
Nikola’s Stache,BSA19741,2018-04-25 03:51,7,25,"I’ve touched on this b4: $ tsla undertook 4 separate offerings of unregistered securities in the last half of 2017. (Conv debt, warrant retirement, acquisition, 2025 debt). Only 2 of these conducted under 144a exemption. The acq and the convert did not qualify. (1)",,,,"988905855839080449",https://twitter.com/BSA19741/status/988905855839080449
Andreas Hopf,Andreas_Hopf,2018-04-25 03:28,12,27,"Current $ TSLA shareholder structure showing that retail investors have no influence compared to Fidelity's or Blackrock's ETFs and MFs. pic.twitter.com/ddqMjaWCJO",,,,"988900104210911233",https://twitter.com/Andreas_Hopf/status/988900104210911233
vincent,vincent13031925,2018-04-25 03:23,3,11,"Model X delivered to China on March 23th, $ TSLA pic.twitter.com/GgujacbWJe",,,,"988898804672819200",https://twitter.com/vincent13031925/status/988898804672819200
vincent,vincent13031925,2018-04-25 01:53,4,18,"Model 3 getting ready for Beijing Auto Show in less then 10hrs for the first time. Demand will be huge $ TSLA pic.twitter.com/syD27iRIif",,,,"988876096635486208",https://twitter.com/vincent13031925/status/988876096635486208
Roosevelt Stinson,RooseveltPatoo1,2018-04-25 01:11,10,28,"$ TSLA stands like a pillar of strength as the DJIA declines over 500 points as shorty tries to pervert the yield curve.",,,,"988865549919838208",https://twitter.com/RooseveltPatoo1/status/988865549919838208
Paul Huettner, CFA,Paul_M_Huettner,2018-04-25 01:00,21,54,"$ TSLA / $ TSLAQ bonds doing a little cliff diving today. pic.twitter.com/RE9CnfdeZ2",,,,"988862790696828930",https://twitter.com/Paul_M_Huettner/status/988862790696828930
adam spittler,aspit,2018-04-24 18:16,6,30,"Chanos on CNBC Thursday at 7 am $ tsla",,,,"988761057937231872",https://twitter.com/aspit/status/988761057937231872
Jed Marlin,99JedMarlin,2018-04-24 01:28,8,40,"I hear they were going to restart the Model 3 line today but everybody walked out of Elon’s meeting for lack of value added. $ TSLA",,,,"988507342860845056",https://twitter.com/99JedMarlin/status/988507342860845056
Ecex Exchange  - Ziggurat,PlanetZiggurat,2018-04-24 00:37,250,88,"Roadmap , Token trade time http:// Ecex.Exchange #bitcoin #ZigguratICO #blockchain #crypto #ico #trading #ethereum #eth #btc #cryptocurrencies $ AMZN $ ETSY $ BABA $ WMT $ TGT $ KR $ JPM $ FB $ WFC $ GOO $ TWTR $ agn $ aapl $ brk $ crm $ cmg $ dis $ f $ QQQ $ ibm $ LABU $ TSLA pic.twitter.com/hix2LIR0pB",,,#bitcoin #ZigguratICO #blockchain #crypto #ico #trading #ethereum #eth #btc #cryptocurrencies,"988494693142007808",https://twitter.com/PlanetZiggurat/status/988494693142007808
TSLA Lacrosse,TSLA_Lacrosse,2018-04-23 19:56,10,21,"Division 1 Poll 4/23/2018 1) McCallie 2) Memphis University School 3) Montgomery Bell Academy 4) Christian Brothers 5) Baylor 6) Father Ryan",,,,"988423859941642240",https://twitter.com/TSLA_Lacrosse/status/988423859941642240
TSLA Lacrosse,TSLA_Lacrosse,2018-04-23 19:53,10,14,"Club Division I Poll 4/30/2018 1) Brentwood 2) Ravenwood 3) Houston 4) Franklin 5) Signal Mountain 6) Collierville 7) West Knox 8) Farragut",,,,"988422998897123328",https://twitter.com/TSLA_Lacrosse/status/988422998897123328
TSLA Lacrosse,TSLA_Lacrosse,2018-04-23 19:53,6,17,"Here are the standings going into the last full week of the season... Division II Poll 4/23/2018 1) Briarcrest 2) Ensworth 3) Webb Knoxville 4) Pope John Paul II 5) Evangelical Christian 6) USN 7) CPA 8) St. George’s",,,,"988422996892291074",https://twitter.com/TSLA_Lacrosse/status/988422996892291074
MadPolak,konrad_bilinski,2018-04-23 01:09,4,20,"Tsla crushes competition in Q1 pic.twitter.com/5bMNWGsOS7",,,,"988140191880830978",https://twitter.com/konrad_bilinski/status/988140191880830978
TSLA Primary,TSLA_Primary,2018-04-20 20:35,5,9,"Year 5 have had some superb successes using concrete resources in our Maths lessons #Numicon pic.twitter.com/s7eoiCtLut",,,#Numicon,"987346649407279104",https://twitter.com/TSLA_Primary/status/987346649407279104
Nikola’s Stache,BSA19741,2018-04-18 05:44,7,54,"Lots of fear for $ tsla bears out there. Elon was never going down w/o a fight. Me? I’m freaking thrilled! His actions scream that he is fighting for survival. Laws be damned. Going all in with a pair of deuces. Me. I’m 60-40 to make 100-1. No regrets. Let’s do this fraud boy.",,,,"986397614609502208",https://twitter.com/BSA19741/status/986397614609502208
