username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
TechEBlog,techeblog,2017-06-30 03:30,61,37,"Futuristic #Tesla charging station has a #drone that looks like a terminator robot. http://www. techeblog.com/index.php/tech -gadget/futuristic-tesla-charging-station-has-a-drone-that-looks-like-a-terminator-robot … #cars #technology #geek $ TSLA pic.twitter.com/73wBBMRe7j",,,#Tesla #drone #cars #technology #geek,"880546570499796992",https://twitter.com/techeblog/status/880546570499796992
luis carruthers,orthereaboot,2017-06-30 02:53,6,7,"$ tsla now has credible, independent class action complaints that its ACCELERATION and BREAKING have material design defects, yikes! https:// twitter.com/orthereaboot/s tatus/880529614753464320 …",,,,"880537319228485633",https://twitter.com/orthereaboot/status/880537319228485633
Mark B. Spiegel,markbspiegel,2017-06-30 02:38,2,8,"Wow, this is a SERIOUS safety allegation... $ TSLA https:// twitter.com/orthereaboot/s tatus/880529614753464320 …",,,,"880533484527386624",https://twitter.com/markbspiegel/status/880533484527386624
John Guerriero,vulken17,2017-06-30 02:34,12,12,"$ OTTV Tech stock booming .0023 Streaming live TV Globally Movies on demand TV shows Tele video HD video app $ SIRI $ NFLX $ GOOG $ TSLA $ FB pic.twitter.com/t1ytRk4a6L",,,,"880532546303528962",https://twitter.com/vulken17/status/880532546303528962
EVANNEX for Tesla,evannex_com,2017-06-30 02:34,6,12,"Good news for CA #Tesla owners, state has aggressive #ElectricVehicle bill under consideration, read here: http:// ow.ly/jAVk30d9heA $ TSLA",,,#Tesla #ElectricVehicle,"880532541081436162",https://twitter.com/evannex_com/status/880532541081436162
luis carruthers,orthereaboot,2017-06-30 02:23,4,14,"$ TSLA New Class Action Filed today, this one over defective regenerative breaking, and the blatant lies of OTA fixes. Tick Tick Tick pic.twitter.com/im9Xnnt29T",,,,"880529614753464320",https://twitter.com/orthereaboot/status/880529614753464320
Jesse Colombo,TheBubbleBubble,2017-06-30 02:05,17,25,"There May Be a Bubble in U.S. Motor Vehicle Inventories: https:// mishtalk.com/2017/06/29/bub ble-in-motor-vehicle-inventories-precise-normalness/ … More channel stuffing... $ F $ GM $ TSLA pic.twitter.com/3CtDjJdVVE",,,,"880525116236550144",https://twitter.com/TheBubbleBubble/status/880525116236550144
💎 Silky 💎,silkdynastystx,2017-06-30 01:57,29,57,"MUST READ:) The story of $ TSLA and how Citi Group $ C played an interesting role... If you enjoy, feel free to share. IT IS....WHAT IT IS",,,,"880523203457671168",https://twitter.com/silkdynastystx/status/880523203457671168
Diogenes,WallStCynic,2017-06-30 01:48,7,28,"Today's $ TSLA Executive Departure Update: pic.twitter.com/aABJMlwIur",,,,"880520896762576896",https://twitter.com/WallStCynic/status/880520896762576896
JE$US,WallStJesus,2017-06-29 19:25,5,13,"$ TSLA NOVEMBER BULL SWEEPER DETECTED",,,,"880424571274493958",https://twitter.com/WallStJesus/status/880424571274493958
InternationalLithium,ILCtsxv,2017-06-29 18:58,13,5,"Feel free to contact with International #Lithium $ ILC.v http:// internationallithium.com / #Mining #Argentina #Canada #Ireland $ LIT #EVs $ TSLA #BYD",,,#Lithium #Mining #Argentina #Canada #Ireland #EVs #BYD,"880417675641581568",https://twitter.com/ILCtsxv/status/880417675641581568
EVANNEX for Tesla,evannex_com,2017-06-29 16:56,5,11,"#Tesla is completely transforming the electric grid, here's how: http:// ow.ly/6ylD30d7coP $ TSLA #TeslaMotors #ElectricVehicle #ElonMusk",,,#Tesla #TeslaMotors #ElectricVehicle #ElonMusk,"880387028701110273",https://twitter.com/evannex_com/status/880387028701110273
Julie Miles,TSLA_RE,2017-06-29 13:49,5,6,"Arrived - looks like it's going to be a good day. #REtolife17 pic.twitter.com/OLEM1JkaFe",,,#REtolife17,"880339878831149057",https://twitter.com/TSLA_RE/status/880339878831149057
TheHulk👊,HulkCapital,2017-06-29 03:51,4,23,"Next two days could be insane rippers especially for $ TSLA quarterly sales catalyst next week. Shorts are toast and they know it!",,,,"880189336620113920",https://twitter.com/HulkCapital/status/880189336620113920
EVANNEX for Tesla,evannex_com,2017-06-29 03:17,6,14,"Led by #Tesla and the #ElectricVehicle movement, the gas station will become obsolete, read here: http:// ow.ly/Lz8J30d4v1u $ TSLA #TeslaMotors",,,#Tesla #ElectricVehicle #TeslaMotors,"880180991415005184",https://twitter.com/evannex_com/status/880180991415005184
Hedgeye,Hedgeye,2017-06-29 02:53,5,18,"Great $ TSLA license plate spotted on Merritt Parkway. That said the stock is still a big short. @HedgeyeIndstrls @mablum @JoeMcMonigle #OPEC pic.twitter.com/En28uDAvfu",,@HedgeyeIndstrls @mablum @JoeMcMonigle,#OPEC,"880174967324905473",https://twitter.com/Hedgeye/status/880174967324905473
TechEBlog,techeblog,2017-06-29 01:35,59,25,"#Tesla Roadster Y could be successor to original, has "Slide Finger to Open" doors. http://www. techeblog.com/index.php/tech -gadget/tesla-roadster-y-could-be-successor-to-original-roadster-has-slide-finger-to-open-doors … #cars #technology #gadgets $ TSLA pic.twitter.com/z0CLQV0oxN",,,#Tesla #cars #technology #gadgets,"880155197644853248",https://twitter.com/techeblog/status/880155197644853248
Drive for Show,WintonCapPtnrs,2017-06-28 23:24,5,7,"The competition coming for $ TSLA by bigger and better financed companies is a tidal wave. https:// twitter.com/MarketCurrents /status/880121840928043008 …",,,,"880122135439691776",https://twitter.com/WintonCapPtnrs/status/880122135439691776
901Lacrosse,901BoxLacrosse,2017-06-28 09:32,6,22,"Brothers Lacrosse Camp...boys showing off their new @powelllacrosse sticks @CBHSLacrosse @TSLA _Lacrosse @CBHSAthletics pic.twitter.com/HxIvWLri2d",,@powelllacrosse @CBHSLacrosse @TSLA @CBHSAthletics,,"879912873534906369",https://twitter.com/901BoxLacrosse/status/879912873534906369
